representative,full_name,bioguide_id,party,state,state_abbr,district,district_code,district_key,official_url,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct,govtrack_id,icpsr_id,wikidata_id,first_name,last_name,office,address,phone,term_start,term_end
Friedman,Laura Friedman,F000483,Democratic,CA,CA,30.0,30.0,CA-30,https://friedman.house.gov,376,2,0,4,0,382,380,1.1,98.9,0.5,456979.0,,Q6498920,Laura,Friedman,1517 Longworth House Office Building,1517 Longworth House Office Building Washington DC 20515-0530,202-225-4176,2025-01-03,2027-01-03
Garamendi,John Garamendi,G000559,Democratic,CA,CA,8.0,8.0,CA-08,https://garamendi.house.gov,339,37,1,5,0,382,344,1.5,98.5,9.7,412382.0,20958.0,Q1340268,John,Garamendi,2428 Rayburn House Office Building,2428 Rayburn House Office Building Washington DC 20515-0508,202-225-1880,2025-01-03,2027-01-03
Garcia (CA),Robert Garcia,G000598,Democratic,CA,CA,42.0,42.0,CA-42,https://robertgarcia.house.gov,373,7,0,2,0,382,375,0.5,99.5,1.8,456885.0,,Q16204904,Robert,Garcia,109 Cannon House Office Building,109 Cannon House Office Building Washington DC 20515-0542,202-225-7924,2025-01-03,2027-01-03
Gomez,Jimmy Gomez,G000585,Democratic,CA,CA,34.0,34.0,CA-34,https://gomez.house.gov,359,18,0,5,0,382,364,1.4,98.6,4.7,412739.0,21754.0,Q6200205,Jimmy,Gomez,506 Cannon House Office Building,506 Cannon House Office Building Washington DC 20515-0534,202-225-6235,2025-01-03,2027-01-03
Gray,Adam Gray,G000605,Democratic,CA,CA,13.0,13.0,CA-13,https://gray.house.gov,273,19,1,89,0,382,362,24.6,75.4,5.0,456975.0,,Q3000097,Adam,Gray,1230 Longworth House Office Building,1230 Longworth House Office Building Washington DC 20515-0513,202-225-1947,2025-01-03,2027-01-03
Harder (CA),Josh Harder,H001090,Democratic,CA,CA,9.0,9.0,CA-09,https://harder.house.gov,347,2,0,33,0,382,380,8.7,91.3,0.5,412754.0,21930.0,Q58494468,Josh,Harder,209 Cannon House Office Building,209 Cannon House Office Building Washington DC 20515-0509,202-225-4540,2025-01-03,2027-01-03
Huffman,Jared Huffman,H001068,Democratic,CA,CA,2.0,2.0,CA-02,https://huffman.house.gov,376,4,0,2,0,382,378,0.5,99.5,1.0,412511.0,21303.0,Q3276717,Jared,Huffman,2330 Rayburn House Office Building,2330 Rayburn House Office Building Washington DC 20515-0502,202-225-5161,2025-01-03,2027-01-03
Jacobs,Sara Jacobs,J000305,Democratic,CA,CA,51.0,51.0,CA-51,https://sarajacobs.house.gov,381,0,0,1,0,382,382,0.3,99.7,0.0,456804.0,,Q50825637,Sara,Jacobs,2348 Rayburn House Office Building,2348 Rayburn House Office Building Washington DC 20515-0551,202-225-2040,2025-01-03,2027-01-03
Kamlager-Dove,,,Democratic,CA,CA,,,,,367,13,0,2,0,382,369,0.5,99.5,3.4,,,,,,,,,,
Khanna,Ro Khanna,K000389,Democratic,CA,CA,17.0,17.0,CA-17,https://khanna.house.gov,374,2,0,6,0,382,380,1.6,98.4,0.5,412684.0,21728.0,Q7339221,Ro,Khanna,306 Cannon House Office Building,306 Cannon House Office Building Washington DC 20515-0517,202-225-2631,2025-01-03,2027-01-03
Levin,Mike Levin,L000593,Democratic,CA,CA,49.0,49.0,CA-49,https://levin.house.gov,362,1,1,18,0,382,380,4.7,95.3,0.3,412760.0,21939.0,Q55424854,Mike,Levin,2352 Rayburn House Office Building,2352 Rayburn House Office Building Washington DC 20515-0549,202-225-3906,2025-01-03,2027-01-03
Liccardo,Sam T. Liccardo,L000607,Democratic,CA,CA,16.0,16.0,CA-16,https://liccardo.house.gov,372,3,0,7,0,382,379,1.8,98.2,0.8,456976.0,,Q16731481,Sam,Liccardo,1117 Longworth House Office Building,1117 Longworth House Office Building Washington DC 20515-0516,202-225-8104,2025-01-03,2027-01-03
Lieu,Ted Lieu,L000582,Democratic,CA,CA,36.0,36.0,CA-36,https://lieu.house.gov,360,12,1,9,0,382,369,2.4,97.6,3.1,412616.0,21507.0,Q7693450,Ted,Lieu,2454 Rayburn House Office Building,2454 Rayburn House Office Building Washington DC 20515-0536,202-225-3976,2025-01-03,2027-01-03
Lofgren,Zoe Lofgren,L000397,Democratic,CA,CA,18.0,18.0,CA-18,https://lofgren.house.gov,368,5,1,8,0,382,376,2.1,97.9,1.3,400245.0,29504.0,Q218217,Zoe,Lofgren,1401 Longworth House Office Building,1401 Longworth House Office Building Washington DC 20515-0518,202-225-3072,2025-01-03,2027-01-03
Matsui,Doris O. Matsui,M001163,Democratic,CA,CA,7.0,7.0,CA-07,https://matsui.house.gov,379,0,0,3,0,382,382,0.8,99.2,0.0,400663.0,20538.0,Q399561,Doris,Matsui,2206 Rayburn House Office Building,2206 Rayburn House Office Building Washington DC 20515-0507,202-225-7163,2025-01-03,2027-01-03
Min,Dave Min,M001241,Democratic,CA,CA,47.0,47.0,CA-47,https://min.house.gov,359,1,0,22,0,382,381,5.8,94.2,0.3,456981.0,,Q31213321,Dave,Min,1034 Longworth House Office Building,1034 Longworth House Office Building Washington DC 20515-0547,202-225-5611,2025-01-03,2027-01-03
Mullin,Kevin Mullin,M001225,Democratic,CA,CA,15.0,15.0,CA-15,https://kevinmullin.house.gov,356,21,0,5,0,382,361,1.4,98.6,5.5,456883.0,,Q6397046,Kevin,Mullin,1404 Longworth House Office Building,1404 Longworth House Office Building Washington DC 20515-0515,202-225-3531,2025-01-03,2027-01-03
Panetta,Jimmy Panetta,P000613,Democratic,CA,CA,19.0,19.0,CA-19,https://panetta.house.gov,348,0,0,34,0,382,382,8.9,91.1,0.0,412685.0,21740.0,Q27733776,Jimmy,Panetta,200 Cannon House Office Building,200 Cannon House Office Building Washington DC 20515-0519,202-225-2861,2025-01-03,2027-01-03
Pelosi,Nancy Pelosi,P000197,Democratic,CA,CA,11.0,11.0,CA-11,https://pelosi.house.gov,354,24,1,3,0,382,357,0.8,99.2,6.3,400314.0,15448.0,Q170581,Nancy,Pelosi,1236 Longworth House Office Building,1236 Longworth House Office Building Washington DC 20515-0511,202-225-4965,2025-01-03,2027-01-03
Peters,Scott H. Peters,P000608,Democratic,CA,CA,50.0,50.0,CA-50,https://scottpeters.house.gov,357,3,1,21,0,382,378,5.6,94.4,0.8,412523.0,21315.0,Q3791514,Scott,Peters,2369 Rayburn House Office Building,2369 Rayburn House Office Building Washington DC 20515-0550,202-225-0508,2025-01-03,2027-01-03
Rivas,Luz M. Rivas,R000620,Democratic,CA,CA,29.0,29.0,CA-29,https://rivas.house.gov,378,3,0,1,0,382,379,0.3,99.7,0.8,456978.0,,Q54861699,Luz,Rivas,1319 Longworth House Office Building,1319 Longworth House Office Building Washington DC 20515-0529,202-225-6131,2025-01-03,2027-01-03
Ruiz,Raul Ruiz,R000599,Democratic,CA,CA,25.0,25.0,CA-25,https://ruiz.house.gov,365,5,0,12,0,382,377,3.2,96.8,1.3,412519.0,21311.0,Q3701994,Raul,Ruiz,2342 Rayburn House Office Building,2342 Rayburn House Office Building Washington DC 20515-0525,202-225-5330,2025-01-03,2027-01-03
Sherman,Brad Sherman,S000344,Democratic,CA,CA,32.0,32.0,CA-32,https://sherman.house.gov,370,7,0,5,0,382,375,1.3,98.7,1.8,400371.0,29707.0,Q672919,Brad,Sherman,2365 Rayburn House Office Building,2365 Rayburn House Office Building Washington DC 20515-0532,202-225-5911,2025-01-03,2027-01-03
Simon,Lateefah Simon,S001231,Democratic,CA,CA,12.0,12.0,CA-12,https://simon.house.gov,373,7,0,2,0,382,375,0.5,99.5,1.8,456974.0,,Q6495426,Lateefah,Simon,1023 Longworth House Office Building,1023 Longworth House Office Building Washington DC 20515-0512,202-225-2661,2025-01-03,2027-01-03
Swalwell,,,Democratic,CA,CA,,,,,209,120,0,7,0,336,216,3.2,96.8,35.7,,,,,,,,,,
Sánchez,Linda T. Sánchez,S001156,Democratic,CA,CA,38.0,38.0,CA-38,https://lindasanchez.house.gov,372,7,0,3,0,382,375,0.8,99.2,1.8,400355.0,20310.0,Q291143,Linda,Sánchez,2309 Rayburn House Office Building,2309 Rayburn House Office Building Washington DC 20515-0538,202-225-6676,2025-01-03,2027-01-03
Takano,Mark Takano,T000472,Democratic,CA,CA,39.0,39.0,CA-39,https://takano.house.gov,380,2,0,0,0,382,380,0.0,100.0,0.5,412520.0,21312.0,Q399593,Mark,Takano,2078 Rayburn House Office Building,2078 Rayburn House Office Building Washington DC 20515-0539,202-225-2305,2025-01-03,2027-01-03
Thompson (CA),Mike Thompson,T000460,Democratic,CA,CA,4.0,4.0,CA-04,https://mikethompson.house.gov,368,2,0,12,0,382,380,3.2,96.8,0.5,400403.0,29901.0,Q1323196,Mike,Thompson,268 Cannon House Office Building,268 Cannon House Office Building Washington DC 20515-0504,202-225-3311,2025-01-03,2027-01-03
Torres (CA),Norma J. Torres,T000474,Democratic,CA,CA,35.0,35.0,CA-35,https://torres.house.gov,365,6,0,11,0,382,376,2.9,97.1,1.6,412617.0,21508.0,Q3343727,Norma,Torres,2227 Rayburn House Office Building,2227 Rayburn House Office Building Washington DC 20515-0535,202-225-6161,2025-01-03,2027-01-03
Tran,Derek Tran,T000491,Democratic,CA,CA,45.0,45.0,CA-45,https://tran.house.gov,348,0,2,32,0,382,380,8.4,91.6,0.0,456980.0,,Q131339671,Derek,Tran,1127 Longworth House Office Building,1127 Longworth House Office Building Washington DC 20515-0545,202-225-2415,2025-01-03,2027-01-03
Vargas,Juan Vargas,V000130,Democratic,CA,CA,52.0,52.0,CA-52,https://vargas.house.gov,375,5,0,2,0,382,377,0.5,99.5,1.3,412522.0,21314.0,Q3791701,Juan,Vargas,2467 Rayburn House Office Building,2467 Rayburn House Office Building Washington DC 20515-0552,202-225-8045,2025-01-03,2027-01-03
Waters,Maxine Waters,W000187,Democratic,CA,CA,43.0,43.0,CA-43,https://waters.house.gov,367,14,0,1,0,382,368,0.3,99.7,3.7,400422.0,29106.0,Q461727,Maxine,Waters,2221 Rayburn House Office Building,2221 Rayburn House Office Building Washington DC 20515-0543,202-225-2201,2025-01-03,2027-01-03
Whitesides,George Whitesides,W000830,Democratic,CA,CA,27.0,27.0,CA-27,https://whitesides.house.gov,335,8,1,38,0,382,373,10.2,89.8,2.1,456977.0,,Q3511804,George,Whitesides,1504 Longworth House Office Building,1504 Longworth House Office Building Washington DC 20515-0527,202-225-1956,2025-01-03,2027-01-03
Crow,Jason Crow,C001121,Democratic,CO,CO,6.0,6.0,CO-06,https://crow.house.gov,376,0,0,6,0,382,382,1.6,98.4,0.0,412762.0,21912.0,Q58323071,Jason,Crow,1323 Longworth House Office Building,1323 Longworth House Office Building Washington DC 20515-0606,202-225-7882,2025-01-03,2027-01-03
DeGette,Diana DeGette,D000197,Democratic,CO,CO,1.0,1.0,CO-01,https://degette.house.gov,377,4,0,1,0,382,378,0.3,99.7,1.0,400101.0,29710.0,Q437159,Diana,DeGette,2111 Rayburn House Office Building,2111 Rayburn House Office Building Washington DC 20515-0601,202-225-4431,2025-01-03,2027-01-03
Neguse,Joe Neguse,N000191,Democratic,CO,CO,2.0,2.0,CO-02,https://neguse.house.gov,379,0,0,3,0,382,382,0.8,99.2,0.0,412761.0,21948.0,Q57242006,Joe,Neguse,2400 Rayburn House Office Building,2400 Rayburn House Office Building Washington DC 20515-0602,202-225-2161,2025-01-03,2027-01-03
Pettersen,Brittany Pettersen,P000620,Democratic,CO,CO,7.0,7.0,CO-07,https://pettersen.house.gov,325,49,0,8,0,382,333,2.4,97.6,12.8,456886.0,,Q16734469,Brittany,Pettersen,348 Cannon House Office Building,348 Cannon House Office Building Washington DC 20515-0607,202-225-2645,2025-01-03,2027-01-03
Courtney,Joe Courtney,C001069,Democratic,CT,CT,2.0,2.0,CT-02,https://courtney.house.gov,340,26,1,15,0,382,355,4.2,95.8,6.8,412193.0,20706.0,Q434470,Joe,Courtney,2449 Rayburn House Office Building,2449 Rayburn House Office Building Washington DC 20515-0702,202-225-2076,2025-01-03,2027-01-03
DeLauro,Rosa L. DeLauro,D000216,Democratic,CT,CT,3.0,3.0,CT-03,https://delauro.house.gov,373,3,1,5,0,382,378,1.3,98.7,0.8,400103.0,29109.0,Q434952,Rosa,DeLauro,2413 Rayburn House Office Building,2413 Rayburn House Office Building Washington DC 20515-0703,202-225-3661,2025-01-03,2027-01-03
Hayes,Jahana Hayes,H001081,Democratic,CT,CT,5.0,5.0,CT-05,https://hayes.house.gov,376,0,0,6,0,382,382,1.6,98.4,0.0,412763.0,21931.0,Q24951316,Jahana,Hayes,2049 Rayburn House Office Building,2049 Rayburn House Office Building Washington DC 20515-0705,202-225-4476,2025-01-03,2027-01-03
Himes,James A. Himes,H001047,Democratic,CT,CT,4.0,4.0,CT-04,https://himes.house.gov,359,3,1,19,0,382,378,5.0,95.0,0.8,412282.0,20907.0,Q1689111,James,Himes,2137 Rayburn House Office Building,2137 Rayburn House Office Building Washington DC 20515-0704,202-225-5541,2025-01-03,2027-01-03
Larson (CT),John B. Larson,L000557,Democratic,CT,CT,1.0,1.0,CT-01,https://larson.house.gov,368,11,0,3,0,382,371,0.8,99.2,2.9,400233.0,29908.0,Q357832,John,Larson,1501 Longworth House Office Building,1501 Longworth House Office Building Washington DC 20515-0701,202-225-2265,2025-01-03,2027-01-03
Norton,Eleanor Holmes Norton,N000147,Democratic,DC,DC,0.0,0.0,DC-00,https://norton.house.gov,40,0,0,0,0,40,40,0.0,100.0,0.0,400295.0,,Q461649,Eleanor,Norton,2136 Rayburn House Office Building,2136 Rayburn House Office Building Washington DC 20515-5101,202-225-8050,2025-01-03,2027-01-03
McBride,Sarah McBride,M001238,Democratic,DE,DE,0.0,0.0,DE-00,https://mcbride.house.gov,370,2,1,9,0,382,379,2.4,97.6,0.5,456985.0,,Q17011236,Sarah,McBride,1306 Longworth House Office Building,1306 Longworth House Office Building Washington DC 20515-0800,202-225-4165,2025-01-03,2027-01-03
Castor (FL),Kathy Castor,C001066,Democratic,FL,FL,14.0,14.0,FL-14,https://castor.house.gov,366,7,1,8,0,382,374,2.1,97.9,1.8,412195.0,20708.0,Q458492,Kathy,Castor,2188 Rayburn House Office Building,2188 Rayburn House Office Building Washington DC 20515-0914,202-225-3376,2025-01-03,2027-01-03
Cherfilus-McCormick,,,Democratic,FL,FL,,,,,339,4,0,7,0,350,346,2.0,98.0,1.1,,,,,,,,,,
"Frankel, Lois",,,Democratic,FL,FL,,,,,357,16,1,8,0,382,365,2.2,97.8,4.2,,,,,,,,,,
Frost,Maxwell Frost,F000476,Democratic,FL,FL,10.0,10.0,FL-10,https://frost.house.gov,381,1,0,0,0,382,381,0.0,100.0,0.3,456890.0,,Q113587724,Maxwell,Frost,1224 Longworth House Office Building,1224 Longworth House Office Building Washington DC 20515-0910,202-225-2176,2025-01-03,2027-01-03
Moskowitz,Jared Moskowitz,M001217,Democratic,FL,FL,23.0,23.0,FL-23,https://moskowitz.house.gov,329,10,1,42,0,382,371,11.3,88.7,2.6,456893.0,,Q16221073,Jared,Moskowitz,242 Cannon House Office Building,242 Cannon House Office Building Washington DC 20515-0923,202-225-3001,2025-01-03,2027-01-03
Soto,Darren Soto,S001200,Democratic,FL,FL,9.0,9.0,FL-09,https://soto.house.gov,353,0,1,28,0,382,381,7.3,92.7,0.0,412695.0,21746.0,Q5225162,Darren,Soto,2353 Rayburn House Office Building,2353 Rayburn House Office Building Washington DC 20515-0909,202-225-9889,2025-01-03,2027-01-03
Wasserman Schultz,,,Democratic,FL,FL,,,,,363,7,0,12,0,382,375,3.2,96.8,1.8,,,,,,,,,,
Wilson (FL),Frederica S. Wilson,W000808,Democratic,FL,FL,24.0,24.0,FL-24,https://wilson.house.gov,300,80,0,2,0,382,302,0.7,99.3,20.9,412412.0,21118.0,Q461504,Frederica,Wilson,2080 Rayburn House Office Building,2080 Rayburn House Office Building Washington DC 20515-0924,202-225-4506,2025-01-03,2027-01-03
Bishop,"Sanford D. Bishop, Jr.",B000490,Democratic,GA,GA,2.0,2.0,GA-02,https://bishop.house.gov,346,8,0,28,0,382,374,7.5,92.5,2.1,400030.0,29339.0,Q983428,Sanford,Bishop,2407 Rayburn House Office Building,2407 Rayburn House Office Building Washington DC 20515-1002,202-225-3631,2025-01-03,2027-01-03
Johnson (GA),"Henry C. ""Hank"" Johnson, Jr.",J000288,Democratic,GA,GA,4.0,4.0,GA-04,https://hankjohnson.house.gov,371,8,0,3,0,382,374,0.8,99.2,2.1,412199.0,20712.0,Q983537,Henry,Johnson,2240 Rayburn House Office Building,2240 Rayburn House Office Building Washington DC 20515-1004,202-225-1605,2025-01-03,2027-01-03
McBath,Lucy McBath,M001208,Democratic,GA,GA,6.0,6.0,GA-06,https://mcbath.house.gov,341,25,1,15,0,382,356,4.2,95.8,6.5,412769.0,21944.0,Q54358424,Lucy,McBath,2246 Rayburn House Office Building,2246 Rayburn House Office Building Washington DC 20515-1006,202-225-4501,2025-01-03,2027-01-03
"Scott, David",,,Democratic,GA,GA,,,,,341,5,0,6,0,352,347,1.7,98.3,1.4,,,,,,,,,,
Williams (GA),Nikema Williams,W000788,Democratic,GA,GA,5.0,5.0,GA-05,https://nikemawilliams.house.gov,363,18,0,1,0,382,364,0.3,99.7,4.7,456811.0,,Q56486570,Nikema,Williams,1406 Longworth House Office Building,1406 Longworth House Office Building Washington DC 20515-1005,202-225-3801,2025-01-03,2027-01-03
Case,Ed Case,C001055,Democratic,HI,HI,1.0,1.0,HI-01,https://case.house.gov,361,2,1,18,0,382,379,4.7,95.3,0.5,400069.0,20322.0,Q597613,Ed,Case,2210 Rayburn House Office Building,2210 Rayburn House Office Building Washington DC 20515-1101,202-225-2726,2025-01-03,2027-01-03
Tokuda,Jill N. Tokuda,T000487,Democratic,HI,HI,2.0,2.0,HI-02,https://tokuda.house.gov,382,0,0,0,0,382,382,0.0,100.0,0.0,456897.0,,Q13562293,Jill,Tokuda,1027 Longworth House Office Building,1027 Longworth House Office Building Washington DC 20515-1102,202-225-4906,2025-01-03,2027-01-03
Budzinski,Nikki Budzinski,B001315,Democratic,IL,IL,13.0,13.0,IL-13,https://budzinski.house.gov,355,0,0,27,0,382,382,7.1,92.9,0.0,456901.0,,Q111342337,Nicole (Nikki),Budzinski,1717 Longworth House Office Building,1717 Longworth House Office Building Washington DC 20515-1313,202-225-2371,2025-01-03,2027-01-03
Casten,Sean Casten,C001117,Democratic,IL,IL,6.0,6.0,IL-06,https://casten.house.gov,374,2,1,5,0,382,379,1.3,98.7,0.5,412775.0,21906.0,Q55386655,Sean,Casten,2440 Rayburn House Office Building,2440 Rayburn House Office Building Washington DC 20515-1306,202-225-4561,2025-01-03,2027-01-03
Davis (IL),Danny K. Davis,D000096,Democratic,IL,IL,7.0,7.0,IL-07,https://davis.house.gov,376,5,0,1,0,382,377,0.3,99.7,1.3,400093.0,29717.0,Q1164657,Danny,Davis,2159 Rayburn House Office Building,2159 Rayburn House Office Building Washington DC 20515-1307,202-225-5006,2025-01-03,2027-01-03
Foster,Bill Foster,F000454,Democratic,IL,IL,11.0,11.0,IL-11,https://foster.house.gov,369,0,1,12,0,382,381,3.1,96.9,0.0,412257.0,20749.0,Q2903389,Bill,Foster,2366 Rayburn House Office Building,2366 Rayburn House Office Building Washington DC 20515-1311,202-225-3515,2025-01-03,2027-01-03
García (IL),"Jesús G. ""Chuy"" García",G000586,Democratic,IL,IL,4.0,4.0,IL-04,https://chuygarcia.house.gov,375,5,0,2,0,382,377,0.5,99.5,1.3,412774.0,21921.0,Q18631698,Jesús,García,2334 Rayburn House Office Building,2334 Rayburn House Office Building Washington DC 20515-1304,202-225-8203,2025-01-03,2027-01-03
Jackson (IL),Jonathan L. Jackson,J000309,Democratic,IL,IL,1.0,1.0,IL-01,https://jonathanjackson.house.gov,352,22,0,8,0,382,360,2.2,97.8,5.8,456899.0,,Q6273473,Jonathan,Jackson,1632 Longworth House Office Building,1632 Longworth House Office Building Washington DC 20515-1301,202-225-4372,2025-01-03,2027-01-03
Kelly (IL),Robin L. Kelly,K000385,Democratic,IL,IL,2.0,2.0,IL-02,https://robinkelly.house.gov,373,7,0,2,0,382,375,0.5,99.5,1.8,412595.0,21371.0,Q3437091,Robin,Kelly,2329 Rayburn House Office Building,2329 Rayburn House Office Building Washington DC 20515-1302,202-225-0773,2025-01-03,2027-01-03
Krishnamoorthi,Raja Krishnamoorthi,K000391,Democratic,IL,IL,8.0,8.0,IL-08,https://krishnamoorthi.house.gov,365,11,0,6,0,382,371,1.6,98.4,2.9,412701.0,21730.0,Q7285471,Raja,Krishnamoorthi,2367 Rayburn House Office Building,2367 Rayburn House Office Building Washington DC 20515-1308,202-225-3711,2025-01-03,2027-01-03
Quigley,Mike Quigley,Q000023,Democratic,IL,IL,5.0,5.0,IL-05,https://quigley.house.gov,356,16,0,10,0,382,366,2.7,97.3,4.2,412331.0,20954.0,Q465767,Mike,Quigley,2083 Rayburn House Office Building,2083 Rayburn House Office Building Washington DC 20515-1305,202-225-4061,2025-01-03,2027-01-03
Ramirez,Delia C. Ramirez,R000617,Democratic,IL,IL,3.0,3.0,IL-03,https://ramirez.house.gov,371,9,0,2,0,382,373,0.5,99.5,2.4,456900.0,,Q58416610,Delia,Ramirez,1523 Longworth House Office Building,1523 Longworth House Office Building Washington DC 20515-1303,202-225-5701,2025-01-03,2027-01-03
Schakowsky,Janice D. Schakowsky,S001145,Democratic,IL,IL,9.0,9.0,IL-09,https://schakowsky.house.gov,368,13,0,1,0,382,369,0.3,99.7,3.4,400360.0,29911.0,Q440885,Janice,Schakowsky,2408 Rayburn House Office Building,2408 Rayburn House Office Building Washington DC 20515-1309,202-225-2111,2025-01-03,2027-01-03
Schneider,Bradley Scott Schneider,S001190,Democratic,IL,IL,10.0,10.0,IL-10,https://schneider.house.gov,353,9,1,19,0,382,372,5.1,94.9,2.4,412534.0,21326.0,Q2923426,Bradley,Schneider,300 Cannon House Office Building,300 Cannon House Office Building Washington DC 20515-1310,202-225-4835,2025-01-03,2027-01-03
Sorensen,Eric Sorensen,S001225,Democratic,IL,IL,17.0,17.0,IL-17,https://sorensen.house.gov,349,0,0,33,0,382,382,8.6,91.4,0.0,456902.0,,Q115182513,Eric,Sorensen,1314 Longworth House Office Building,1314 Longworth House Office Building Washington DC 20515-1317,202-225-5905,2025-01-03,2027-01-03
