bioguide_id,representative,full_name,party,party_code,state_abbr,district,district_code,district_key,official_url,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct,first_name,last_name,profile_party,office,address,phone,term_start,term_end
M001225,Mullin,Kevin Mullin,Democratic,D,CA,15.0,15.0,CA-15,https://kevinmullin.house.gov,356,21,0,5,0,382,361,1.4,98.6,5.5,Kevin,Mullin,Democratic,1404 Longworth House Office Building,1404 Longworth House Office Building Washington DC 20515-0515,202-225-3531,2025-01-03,2027-01-03
P000613,Panetta,Jimmy Panetta,Democratic,D,CA,19.0,19.0,CA-19,https://panetta.house.gov,348,0,0,34,0,382,382,8.9,91.1,0.0,Jimmy,Panetta,Democratic,200 Cannon House Office Building,200 Cannon House Office Building Washington DC 20515-0519,202-225-2861,2025-01-03,2027-01-03
P000197,Pelosi,Nancy Pelosi,Democratic,D,CA,11.0,11.0,CA-11,https://pelosi.house.gov,354,24,1,3,0,382,357,0.8,99.2,6.3,Nancy,Pelosi,Democratic,1236 Longworth House Office Building,1236 Longworth House Office Building Washington DC 20515-0511,202-225-4965,2025-01-03,2027-01-03
P000608,Peters,Scott H. Peters,Democratic,D,CA,50.0,50.0,CA-50,https://scottpeters.house.gov,357,3,1,21,0,382,378,5.6,94.4,0.8,Scott,Peters,Democratic,2369 Rayburn House Office Building,2369 Rayburn House Office Building Washington DC 20515-0550,202-225-0508,2025-01-03,2027-01-03
R000620,Rivas,Luz M. Rivas,Democratic,D,CA,29.0,29.0,CA-29,https://rivas.house.gov,378,3,0,1,0,382,379,0.3,99.7,0.8,Luz,Rivas,Democratic,1319 Longworth House Office Building,1319 Longworth House Office Building Washington DC 20515-0529,202-225-6131,2025-01-03,2027-01-03
R000599,Ruiz,Raul Ruiz,Democratic,D,CA,25.0,25.0,CA-25,https://ruiz.house.gov,365,5,0,12,0,382,377,3.2,96.8,1.3,Raul,Ruiz,Democratic,2342 Rayburn House Office Building,2342 Rayburn House Office Building Washington DC 20515-0525,202-225-5330,2025-01-03,2027-01-03
S000344,Sherman,Brad Sherman,Democratic,D,CA,32.0,32.0,CA-32,https://sherman.house.gov,370,7,0,5,0,382,375,1.3,98.7,1.8,Brad,Sherman,Democratic,2365 Rayburn House Office Building,2365 Rayburn House Office Building Washington DC 20515-0532,202-225-5911,2025-01-03,2027-01-03
S001231,Simon,Lateefah Simon,Democratic,D,CA,12.0,12.0,CA-12,https://simon.house.gov,373,7,0,2,0,382,375,0.5,99.5,1.8,Lateefah,Simon,Democratic,1023 Longworth House Office Building,1023 Longworth House Office Building Washington DC 20515-0512,202-225-2661,2025-01-03,2027-01-03
S001193,Swalwell,,Democratic,D,CA,,,,,209,120,0,7,0,336,216,3.2,96.8,35.7,,,,,,,,
S001156,Sánchez,Linda T. Sánchez,Democratic,D,CA,38.0,38.0,CA-38,https://lindasanchez.house.gov,372,7,0,3,0,382,375,0.8,99.2,1.8,Linda,Sánchez,Democratic,2309 Rayburn House Office Building,2309 Rayburn House Office Building Washington DC 20515-0538,202-225-6676,2025-01-03,2027-01-03
T000472,Takano,Mark Takano,Democratic,D,CA,39.0,39.0,CA-39,https://takano.house.gov,380,2,0,0,0,382,380,0.0,100.0,0.5,Mark,Takano,Democratic,2078 Rayburn House Office Building,2078 Rayburn House Office Building Washington DC 20515-0539,202-225-2305,2025-01-03,2027-01-03
T000460,Thompson (CA),Mike Thompson,Democratic,D,CA,4.0,4.0,CA-04,https://mikethompson.house.gov,368,2,0,12,0,382,380,3.2,96.8,0.5,Mike,Thompson,Democratic,268 Cannon House Office Building,268 Cannon House Office Building Washington DC 20515-0504,202-225-3311,2025-01-03,2027-01-03
T000474,Torres (CA),Norma J. Torres,Democratic,D,CA,35.0,35.0,CA-35,https://torres.house.gov,365,6,0,11,0,382,376,2.9,97.1,1.6,Norma,Torres,Democratic,2227 Rayburn House Office Building,2227 Rayburn House Office Building Washington DC 20515-0535,202-225-6161,2025-01-03,2027-01-03
T000491,Tran,Derek Tran,Democratic,D,CA,45.0,45.0,CA-45,https://tran.house.gov,348,0,2,32,0,382,380,8.4,91.6,0.0,Derek,Tran,Democratic,1127 Longworth House Office Building,1127 Longworth House Office Building Washington DC 20515-0545,202-225-2415,2025-01-03,2027-01-03
V000130,Vargas,Juan Vargas,Democratic,D,CA,52.0,52.0,CA-52,https://vargas.house.gov,375,5,0,2,0,382,377,0.5,99.5,1.3,Juan,Vargas,Democratic,2467 Rayburn House Office Building,2467 Rayburn House Office Building Washington DC 20515-0552,202-225-8045,2025-01-03,2027-01-03
W000187,Waters,Maxine Waters,Democratic,D,CA,43.0,43.0,CA-43,https://waters.house.gov,367,14,0,1,0,382,368,0.3,99.7,3.7,Maxine,Waters,Democratic,2221 Rayburn House Office Building,2221 Rayburn House Office Building Washington DC 20515-0543,202-225-2201,2025-01-03,2027-01-03
W000830,Whitesides,George Whitesides,Democratic,D,CA,27.0,27.0,CA-27,https://whitesides.house.gov,335,8,1,38,0,382,373,10.2,89.8,2.1,George,Whitesides,Democratic,1504 Longworth House Office Building,1504 Longworth House Office Building Washington DC 20515-0527,202-225-1956,2025-01-03,2027-01-03
C001121,Crow,Jason Crow,Democratic,D,CO,6.0,6.0,CO-06,https://crow.house.gov,376,0,0,6,0,382,382,1.6,98.4,0.0,Jason,Crow,Democratic,1323 Longworth House Office Building,1323 Longworth House Office Building Washington DC 20515-0606,202-225-7882,2025-01-03,2027-01-03
D000197,DeGette,Diana DeGette,Democratic,D,CO,1.0,1.0,CO-01,https://degette.house.gov,377,4,0,1,0,382,378,0.3,99.7,1.0,Diana,DeGette,Democratic,2111 Rayburn House Office Building,2111 Rayburn House Office Building Washington DC 20515-0601,202-225-4431,2025-01-03,2027-01-03
N000191,Neguse,Joe Neguse,Democratic,D,CO,2.0,2.0,CO-02,https://neguse.house.gov,379,0,0,3,0,382,382,0.8,99.2,0.0,Joe,Neguse,Democratic,2400 Rayburn House Office Building,2400 Rayburn House Office Building Washington DC 20515-0602,202-225-2161,2025-01-03,2027-01-03
P000620,Pettersen,Brittany Pettersen,Democratic,D,CO,7.0,7.0,CO-07,https://pettersen.house.gov,325,49,0,8,0,382,333,2.4,97.6,12.8,Brittany,Pettersen,Democratic,348 Cannon House Office Building,348 Cannon House Office Building Washington DC 20515-0607,202-225-2645,2025-01-03,2027-01-03
C001069,Courtney,Joe Courtney,Democratic,D,CT,2.0,2.0,CT-02,https://courtney.house.gov,340,26,1,15,0,382,355,4.2,95.8,6.8,Joe,Courtney,Democratic,2449 Rayburn House Office Building,2449 Rayburn House Office Building Washington DC 20515-0702,202-225-2076,2025-01-03,2027-01-03
D000216,DeLauro,Rosa L. DeLauro,Democratic,D,CT,3.0,3.0,CT-03,https://delauro.house.gov,373,3,1,5,0,382,378,1.3,98.7,0.8,Rosa,DeLauro,Democratic,2413 Rayburn House Office Building,2413 Rayburn House Office Building Washington DC 20515-0703,202-225-3661,2025-01-03,2027-01-03
H001081,Hayes,Jahana Hayes,Democratic,D,CT,5.0,5.0,CT-05,https://hayes.house.gov,376,0,0,6,0,382,382,1.6,98.4,0.0,Jahana,Hayes,Democratic,2049 Rayburn House Office Building,2049 Rayburn House Office Building Washington DC 20515-0705,202-225-4476,2025-01-03,2027-01-03
H001047,Himes,James A. Himes,Democratic,D,CT,4.0,4.0,CT-04,https://himes.house.gov,359,3,1,19,0,382,378,5.0,95.0,0.8,James,Himes,Democratic,2137 Rayburn House Office Building,2137 Rayburn House Office Building Washington DC 20515-0704,202-225-5541,2025-01-03,2027-01-03
L000557,Larson (CT),John B. Larson,Democratic,D,CT,1.0,1.0,CT-01,https://larson.house.gov,368,11,0,3,0,382,371,0.8,99.2,2.9,John,Larson,Democratic,1501 Longworth House Office Building,1501 Longworth House Office Building Washington DC 20515-0701,202-225-2265,2025-01-03,2027-01-03
M001238,McBride,Sarah McBride,Democratic,D,DE,0.0,0.0,DE-00,https://mcbride.house.gov,370,2,1,9,0,382,379,2.4,97.6,0.5,Sarah,McBride,Democratic,1306 Longworth House Office Building,1306 Longworth House Office Building Washington DC 20515-0800,202-225-4165,2025-01-03,2027-01-03
C001066,Castor (FL),Kathy Castor,Democratic,D,FL,14.0,14.0,FL-14,https://castor.house.gov,366,7,1,8,0,382,374,2.1,97.9,1.8,Kathy,Castor,Democratic,2188 Rayburn House Office Building,2188 Rayburn House Office Building Washington DC 20515-0914,202-225-3376,2025-01-03,2027-01-03
C001127,Cherfilus-McCormick,,Democratic,D,FL,,,,,339,4,0,7,0,350,346,2.0,98.0,1.1,,,,,,,,
F000462,"Frankel, Lois",Lois Frankel,Democratic,D,FL,22.0,22.0,FL-22,https://frankel.house.gov,357,16,1,8,0,382,365,2.2,97.8,4.2,Lois,Frankel,Democratic,2305 Rayburn House Office Building,2305 Rayburn House Office Building Washington DC 20515-0922,202-225-9890,2025-01-03,2027-01-03
F000476,Frost,Maxwell Frost,Democratic,D,FL,10.0,10.0,FL-10,https://frost.house.gov,381,1,0,0,0,382,381,0.0,100.0,0.3,Maxwell,Frost,Democratic,1224 Longworth House Office Building,1224 Longworth House Office Building Washington DC 20515-0910,202-225-2176,2025-01-03,2027-01-03
M001217,Moskowitz,Jared Moskowitz,Democratic,D,FL,23.0,23.0,FL-23,https://moskowitz.house.gov,329,10,1,42,0,382,371,11.3,88.7,2.6,Jared,Moskowitz,Democratic,242 Cannon House Office Building,242 Cannon House Office Building Washington DC 20515-0923,202-225-3001,2025-01-03,2027-01-03
S001200,Soto,Darren Soto,Democratic,D,FL,9.0,9.0,FL-09,https://soto.house.gov,353,0,1,28,0,382,381,7.3,92.7,0.0,Darren,Soto,Democratic,2353 Rayburn House Office Building,2353 Rayburn House Office Building Washington DC 20515-0909,202-225-9889,2025-01-03,2027-01-03
W000797,Wasserman Schultz,Debbie Wasserman Schultz,Democratic,D,FL,25.0,25.0,FL-25,https://wassermanschultz.house.gov,363,7,0,12,0,382,375,3.2,96.8,1.8,Debbie,Wasserman Schultz,Democratic,270 Cannon House Office Building,270 Cannon House Office Building Washington DC 20515-0925,202-225-7931,2025-01-03,2027-01-03
W000808,Wilson (FL),Frederica S. Wilson,Democratic,D,FL,24.0,24.0,FL-24,https://wilson.house.gov,300,80,0,2,0,382,302,0.7,99.3,20.9,Frederica,Wilson,Democratic,2080 Rayburn House Office Building,2080 Rayburn House Office Building Washington DC 20515-0924,202-225-4506,2025-01-03,2027-01-03
B000490,Bishop,"Sanford D. Bishop, Jr.",Democratic,D,GA,2.0,2.0,GA-02,https://bishop.house.gov,346,8,0,28,0,382,374,7.5,92.5,2.1,Sanford,Bishop,Democratic,2407 Rayburn House Office Building,2407 Rayburn House Office Building Washington DC 20515-1002,202-225-3631,2025-01-03,2027-01-03
J000288,Johnson (GA),"Henry C. ""Hank"" Johnson, Jr.",Democratic,D,GA,4.0,4.0,GA-04,https://hankjohnson.house.gov,371,8,0,3,0,382,374,0.8,99.2,2.1,Henry,Johnson,Democratic,2240 Rayburn House Office Building,2240 Rayburn House Office Building Washington DC 20515-1004,202-225-1605,2025-01-03,2027-01-03
M001208,McBath,Lucy McBath,Democratic,D,GA,6.0,6.0,GA-06,https://mcbath.house.gov,341,25,1,15,0,382,356,4.2,95.8,6.5,Lucy,McBath,Democratic,2246 Rayburn House Office Building,2246 Rayburn House Office Building Washington DC 20515-1006,202-225-4501,2025-01-03,2027-01-03
S001157,"Scott, David",,Democratic,D,GA,,,,,341,5,0,6,0,352,347,1.7,98.3,1.4,,,,,,,,
W000788,Williams (GA),Nikema Williams,Democratic,D,GA,5.0,5.0,GA-05,https://nikemawilliams.house.gov,363,18,0,1,0,382,364,0.3,99.7,4.7,Nikema,Williams,Democratic,1406 Longworth House Office Building,1406 Longworth House Office Building Washington DC 20515-1005,202-225-3801,2025-01-03,2027-01-03
C001055,Case,Ed Case,Democratic,D,HI,1.0,1.0,HI-01,https://case.house.gov,361,2,1,18,0,382,379,4.7,95.3,0.5,Ed,Case,Democratic,2210 Rayburn House Office Building,2210 Rayburn House Office Building Washington DC 20515-1101,202-225-2726,2025-01-03,2027-01-03
T000487,Tokuda,Jill N. Tokuda,Democratic,D,HI,2.0,2.0,HI-02,https://tokuda.house.gov,382,0,0,0,0,382,382,0.0,100.0,0.0,Jill,Tokuda,Democratic,1027 Longworth House Office Building,1027 Longworth House Office Building Washington DC 20515-1102,202-225-4906,2025-01-03,2027-01-03
B001315,Budzinski,Nikki Budzinski,Democratic,D,IL,13.0,13.0,IL-13,https://budzinski.house.gov,355,0,0,27,0,382,382,7.1,92.9,0.0,Nicole (Nikki),Budzinski,Democratic,1717 Longworth House Office Building,1717 Longworth House Office Building Washington DC 20515-1313,202-225-2371,2025-01-03,2027-01-03
C001117,Casten,Sean Casten,Democratic,D,IL,6.0,6.0,IL-06,https://casten.house.gov,374,2,1,5,0,382,379,1.3,98.7,0.5,Sean,Casten,Democratic,2440 Rayburn House Office Building,2440 Rayburn House Office Building Washington DC 20515-1306,202-225-4561,2025-01-03,2027-01-03
D000096,Davis (IL),Danny K. Davis,Democratic,D,IL,7.0,7.0,IL-07,https://davis.house.gov,376,5,0,1,0,382,377,0.3,99.7,1.3,Danny,Davis,Democratic,2159 Rayburn House Office Building,2159 Rayburn House Office Building Washington DC 20515-1307,202-225-5006,2025-01-03,2027-01-03
F000454,Foster,Bill Foster,Democratic,D,IL,11.0,11.0,IL-11,https://foster.house.gov,369,0,1,12,0,382,381,3.1,96.9,0.0,Bill,Foster,Democratic,2366 Rayburn House Office Building,2366 Rayburn House Office Building Washington DC 20515-1311,202-225-3515,2025-01-03,2027-01-03
G000586,García (IL),"Jesús G. ""Chuy"" García",Democratic,D,IL,4.0,4.0,IL-04,https://chuygarcia.house.gov,375,5,0,2,0,382,377,0.5,99.5,1.3,Jesús,García,Democratic,2334 Rayburn House Office Building,2334 Rayburn House Office Building Washington DC 20515-1304,202-225-8203,2025-01-03,2027-01-03
J000309,Jackson (IL),Jonathan L. Jackson,Democratic,D,IL,1.0,1.0,IL-01,https://jonathanjackson.house.gov,352,22,0,8,0,382,360,2.2,97.8,5.8,Jonathan,Jackson,Democratic,1632 Longworth House Office Building,1632 Longworth House Office Building Washington DC 20515-1301,202-225-4372,2025-01-03,2027-01-03
K000385,Kelly (IL),Robin L. Kelly,Democratic,D,IL,2.0,2.0,IL-02,https://robinkelly.house.gov,373,7,0,2,0,382,375,0.5,99.5,1.8,Robin,Kelly,Democratic,2329 Rayburn House Office Building,2329 Rayburn House Office Building Washington DC 20515-1302,202-225-0773,2025-01-03,2027-01-03
K000391,Krishnamoorthi,Raja Krishnamoorthi,Democratic,D,IL,8.0,8.0,IL-08,https://krishnamoorthi.house.gov,365,11,0,6,0,382,371,1.6,98.4,2.9,Raja,Krishnamoorthi,Democratic,2367 Rayburn House Office Building,2367 Rayburn House Office Building Washington DC 20515-1308,202-225-3711,2025-01-03,2027-01-03
Q000023,Quigley,Mike Quigley,Democratic,D,IL,5.0,5.0,IL-05,https://quigley.house.gov,356,16,0,10,0,382,366,2.7,97.3,4.2,Mike,Quigley,Democratic,2083 Rayburn House Office Building,2083 Rayburn House Office Building Washington DC 20515-1305,202-225-4061,2025-01-03,2027-01-03
R000617,Ramirez,Delia C. Ramirez,Democratic,D,IL,3.0,3.0,IL-03,https://ramirez.house.gov,371,9,0,2,0,382,373,0.5,99.5,2.4,Delia,Ramirez,Democratic,1523 Longworth House Office Building,1523 Longworth House Office Building Washington DC 20515-1303,202-225-5701,2025-01-03,2027-01-03
S001145,Schakowsky,Janice D. Schakowsky,Democratic,D,IL,9.0,9.0,IL-09,https://schakowsky.house.gov,368,13,0,1,0,382,369,0.3,99.7,3.4,Janice,Schakowsky,Democratic,2408 Rayburn House Office Building,2408 Rayburn House Office Building Washington DC 20515-1309,202-225-2111,2025-01-03,2027-01-03
S001190,Schneider,Bradley Scott Schneider,Democratic,D,IL,10.0,10.0,IL-10,https://schneider.house.gov,353,9,1,19,0,382,372,5.1,94.9,2.4,Bradley,Schneider,Democratic,300 Cannon House Office Building,300 Cannon House Office Building Washington DC 20515-1310,202-225-4835,2025-01-03,2027-01-03
S001225,Sorensen,Eric Sorensen,Democratic,D,IL,17.0,17.0,IL-17,https://sorensen.house.gov,349,0,0,33,0,382,382,8.6,91.4,0.0,Eric,Sorensen,Democratic,1314 Longworth House Office Building,1314 Longworth House Office Building Washington DC 20515-1317,202-225-5905,2025-01-03,2027-01-03
U000040,Underwood,Lauren Underwood,Democratic,D,IL,14.0,14.0,IL-14,https://underwood.house.gov,379,2,0,1,0,382,380,0.3,99.7,0.5,Lauren,Underwood,Democratic,2228 Rayburn House Office Building,2228 Rayburn House Office Building Washington DC 20515-1314,202-225-2976,2025-01-03,2027-01-03
C001072,Carson,André Carson,Democratic,D,IN,7.0,7.0,IN-07,https://carson.house.gov,374,5,0,3,0,382,377,0.8,99.2,1.3,André,Carson,Democratic,2135 Rayburn House Office Building,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011,2025-01-03,2027-01-03
M001214,Mrvan,Frank J. Mrvan,Democratic,D,IN,1.0,1.0,IN-01,https://mrvan.house.gov,342,10,1,29,0,382,371,7.8,92.2,2.6,Frank,Mrvan,Democratic,2441 Rayburn House Office Building,2441 Rayburn House Office Building Washington DC 20515-1401,202-225-2461,2025-01-03,2027-01-03
D000629,Davids (KS),Sharice Davids,Democratic,D,KS,3.0,3.0,KS-03,https://davids.house.gov,348,3,0,31,0,382,379,8.2,91.8,0.8,Sharice,Davids,Democratic,2435 Rayburn House Office Building,2435 Rayburn House Office Building Washington DC 20515-1603,202-225-2865,2025-01-03,2027-01-03
